title,url,date
"FOMC Press Conference May 1, 2019",https://www.youtube.com/watch?v=nEVZJQob_5w,2019-05-01
"FOMC Press Conference December 16, 2015",https://www.youtube.com/watch?v=FkG0fbFRm6o,2015-12-16
"FOMC Press Conference June 10, 2020 Introductory Statement",https://www.youtube.com/watch?v=6nUnmBhPPwo,2020-06-10
"FOMC Press Conference November 3, 2021,  Introductory Statement",https://www.youtube.com/watch?v=cTxfOfOv0K8,2021-11-03
"FOMC Press Conference September 26, 2018",https://www.youtube.com/watch?v=6XHSrB6xp3M,2018-09-26
"FOMC Press Conference June 22, 2011",https://www.youtube.com/watch?v=SC2wYdZjh1E,2011-06-22
"FOMC Press Conference December 13, 2017",https://www.youtube.com/watch?v=zw-c5_B3IzU,2017-12-13
"FOMC Press Conference Introductory Statement, June 15, 2022",https://www.youtube.com/watch?v=1OPYwTn1n-M,2022-06-15
"FOMC Press Conference March 20, 2013",https://www.youtube.com/watch?v=zMzR5s3H_00,2013-03-20
"FOMC Press Conference January 26, 2022 Introductory Statement",https://www.youtube.com/watch?v=f6N-7zak3pA,2022-01-26
"FOMC Press Conference March 20, 2019",https://www.youtube.com/watch?v=9XDGXUN4th8,2019-03-20
"FOMC Press Conference June 13, 2018",https://www.youtube.com/watch?v=1QtjzVLNP3A,2018-06-13
"FOMC Press Conference Introductory Statement, December 16, 2020",https://www.youtube.com/watch?v=9ejJLQbxMI0,2020-12-16
"FOMC Press Conference June 18, 2014",https://www.youtube.com/watch?v=rfAg3BJCC1c,2014-06-18
"FOMC Press Conference May 3, 2023",https://www.youtube.com/watch?v=T-hWy7EMfzo,2023-05-03
"FOMC Press Conference Introductory Statement, September 21, 2022",https://www.youtube.com/watch?v=Sxy2QTq864o,2022-09-21
"FOMC Press Conference Introductory Statement, September 20, 2023",https://www.youtube.com/watch?v=aoSpFHCrtLM,2023-09-20
"FOMC Press Conference,  April 28, 2021",https://www.youtube.com/watch?v=33B4KyxX0v8,2021-04-28
"FOMC Press Conference September 18, 2013",https://www.youtube.com/watch?v=DYBSk2hjA0k,2013-09-18
"FOMC Press Conference December 17, 2014",https://www.youtube.com/watch?v=P_1Z4fYGBNE,2014-12-17
"FOMC Press Conference, July 28, 2021",https://www.youtube.com/watch?v=_4bnFq1LydY,2021-07-28
"FOMC Press Conference Call March 15, 2020",https://www.youtube.com/watch?v=qhspIpGMaX4,2020-03-15
"FOMC Press Conference, March 22, 2023",https://www.youtube.com/watch?v=y3dt5ZyL2OU,2023-03-22
"FOMC Press Conference November 2, 2011",https://www.youtube.com/watch?v=byhRNFY-P38,2011-11-02
"FOMC Press Conference March 15, 2017",https://www.youtube.com/watch?v=Y4muZJ1-NJ4,2017-03-15
"FOMC Press Conference Introductory Statement, June 16, 2021",https://www.youtube.com/watch?v=fzOFxy8bMto,2021-06-16
"FOMC Press Conference, September 20, 2023",https://www.youtube.com/watch?v=rqlVjLpYNMA,2023-09-20
"FOMC Press Conference December 19, 2018: Introductory Statement",https://www.youtube.com/watch?v=dyiKxzhelpM,2018-12-19
"FOMC Press Conference Introductory Statement, March 16, 2022",https://www.youtube.com/watch?v=YXTBvuB7c_Q,2022-03-16
"FOMC Press Conference February 1, 2023",https://www.youtube.com/watch?v=3Iv4aCN0OOo,2023-02-01
"FOMC Press Conference, November 2, 2022",https://www.youtube.com/watch?v=CUx1RNvZ8z0,2022-11-02
"FOMC Press Conference June 20, 2012",https://www.youtube.com/watch?v=oqaX4x56vcE,2012-06-20
"FOMC Press Conference, June 15, 2022",https://www.youtube.com/watch?v=jIK9UogQBjE,2022-06-15
"FOMC Press Conference January 30, 2019",https://www.youtube.com/watch?v=uQJZBo-fMB0,2019-01-30
"FOMC Press Conference September 20, 2023",https://www.youtube.com/watch?v=wjgB9PjQt6Q,2023-09-20
"FOMC Press Conference, June 14, 2023",https://www.youtube.com/watch?v=WjXa3vA9s_o,2023-06-14
"Chair Pro Tempore Powell speaks directly to the American people, FOMC Press Conference, May 4, 2022",https://www.youtube.com/watch?v=k5y_3F40DkM,2022-05-04
"FOMC Press Conference December 19, 2018: Introductory Statement",https://www.youtube.com/watch?v=dyiKxzhelpM,2018-12-19
"FOMC Press Conference June 14, 2023",https://www.youtube.com/watch?v=L61NSlLRGe8,2023-06-14
"FOMC Press Conference February 1, 2023",https://www.youtube.com/watch?v=3Iv4aCN0OOo,2023-02-01
"FOMC Press Conference April 27, 2011",https://www.youtube.com/watch?v=c1YLPYix0kM,2011-04-27
"FOMC Press Conference June 20, 2012",https://www.youtube.com/watch?v=oqaX4x56vcE,2012-06-20
"FOMC Press Conference, June 15, 2022",https://www.youtube.com/watch?v=jIK9UogQBjE,2022-06-15
"Chair Pro Tempore Powell speaks directly to the American people, FOMC Press Conference, May 4, 2022",https://www.youtube.com/watch?v=k5y_3F40DkM,2022-05-04
"FOMC Press Conference, May 3, 2023",https://www.youtube.com/watch?v=ifqyTQ0Ifrw,2023-05-03
"FOMC Press Conference Introductory Statement, December 14, 2022",https://www.youtube.com/watch?v=kgmUAgfI2eo,2022-12-14
"FOMC Press Conference Introductory Statement, July 26, 2023",https://www.youtube.com/watch?v=-c-TLn5BR0c,2023-07-26
"FOMC Press Conference, November 1, 2023",https://www.youtube.com/watch?v=ohuJH9fld3w,2023-11-01
"FOMC Press Conference Introductory Statement, November 1, 2023",https://www.youtube.com/watch?v=VzSn1lv2uxc,2023-11-01
"FOMC Press Conference, May 4, 2022",https://www.youtube.com/watch?v=dkdZi4-FX0w,2022-05-04
"FOMC Press Conference July 31, 2019: Introductory Statement",https://www.youtube.com/watch?v=54UaM9h7wD0,2019-07-31
"FOMC Press Conference March 22, 2023",https://www.youtube.com/watch?v=Co3WU9xjQkM,2023-03-22
"FOMC Press Conference Introductory Statement, June 14, 2023",https://www.youtube.com/watch?v=OtUm--v4vhU,2023-06-14
"FOMC Press Conference Introductory Statement, November 2, 2022",https://www.youtube.com/watch?v=-1kznV38bCk,2022-11-02
"FOMC Press Conference Introductory Statement, December 13, 2023",https://www.youtube.com/watch?v=rbycC5IAjmc,2023-12-13
"FOMC Press Conference December 15, 2021",https://www.youtube.com/watch?v=64g_ngSAUtY,2021-12-15
"FOMC Press Conference September 18, 2019",https://www.youtube.com/watch?v=TnT9J0JwmsA,2019-09-18
"FOMC Press Conference Introductory Statement, May 3, 2023",https://www.youtube.com/watch?v=FVLoFEtmFl8,2023-05-03
"FOMC Press Conference, March 17, 2021",https://www.youtube.com/watch?v=N9ZYIEI8pNQ,2021-03-17
"FOMC Press Conference December 13, 2023",https://www.youtube.com/watch?v=pwbKwGjhuhk,2023-12-13
"FOMC Press Conference, January 26, 2022",https://www.youtube.com/watch?v=sX85IhCIhuE,2022-01-26
"FOMC Press Conference December 15, 2021 Introductory Statement",https://www.youtube.com/watch?v=0De8OhzeZBI,2021-12-15
